source_id,domain,title,institution,landing_url,resource_url,format,geography,temporal_coverage,accessed_at,version_or_update,status,planned_use,limitations
sih_transfer,respiratory,"Transferência de Arquivos - DATASUS","DATASUS / Ministério da Saúde",https://datasus.saude.gov.br/transferencia-de-arquivos/,,DBC/DBF,UF e município,2008-2026,2026-08-02,"página acessada em 2026-08-02",verified,"aquisição mensal de RD-AIH",página dinâmica; a resposta deve ser registrada por arquivo
sih_residence_notes,respiratory,"Procedimentos Hospitalares do SUS - por local de residência - Notas Técnicas","DATASUS / Ministério da Saúde",https://tabnet.datasus.gov.br/cgi/sih/prdescr.htm,,HTML,UF e município,desde 1995,2026-08-02,"página acessada em 2026-08-02",verified,"definições de residência, processamento e reconciliação",não substitui microdados
sih_tabnet_nrrj,respiratory,"TabNet SIH/SUS - morbidade por local de residência no RJ","DATASUS / Ministério da Saúde",https://datasus.saude.gov.br/acesso-a-informacao/morbidade-hospitalar-do-sus-sih-sus/,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/nrrj,TabNet HTTP POST,RJ e municípios,2008-2026,2026-08-02,"definição nrrj consultada em 2026-08-02",verified,"reconciliar internações por mês, residência e diagnóstico",métrica baseada em AIH; mês é de processamento e pode não coincidir com alta; endpoint legado usa HTTP
ibge_malha_municipal_rj,territory,"Malha municipal do Estado do Rio de Janeiro","IBGE",https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/,https://servicodados.ibge.gov.br/api/v3/malhas/estados/33?formato=application/vnd.geo+json&qualidade=minima&intrarregiao=municipio,GeoJSON,RJ e municípios,malha de referência disponível,2026-08-02,"API de malhas consultada em 2026-08-02",verified,"mapa contextual municipal do portal",geometria mínima para visualização; não contém dados de saúde
sih_legacy_ftp,respiratory,"Diretório FTP público SIHSUS","DATASUS / Ministério da Saúde",https://datasus.saude.gov.br/transferencia-de-arquivos/,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/,DBC,UF e município,2008-2026,2026-08-02,"conectividade testada em 2026-08-02",failed_initial_check,"alternativa automatizada para RD-AIH",host não respondeu neste ambiente; manter falha no log
sim_dataset,cancer_mortality,"Sistema de Informação sobre Mortalidade - SIM","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/sim,,CSV/XML ZIP,nacional e município,1979-2026,2026-08-02,"recursos disponíveis na página acessada em 2026-08-02",verified,"óbitos por residência, causas básica e múltiplas",status de cada ano varia entre definitivo, preliminar e prévia
sim_2024_csv,cancer_mortality,"Mortalidade Geral 2024","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/sim,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SIM/csv/DO24OPEN_csv.zip,CSV ZIP,nacional e município,2024,2026-08-02,"recurso atualizado em 2026-02-18",verified,"teste de aquisição e layout",arquivo compactado; validar dicionário antes de análise
sim_2010_csv,cancer_mortality,"Mortalidade Geral 2010","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/sim,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SIM/Mortalidade_Geral_2010_csv.zip,CSV ZIP,nacional e município,2010,2026-08-02,"recurso selecionado automaticamente no catálogo oficial; última modificação 2025-12-15",verified,"amostra histórica e comparação de layout",arquivo compactado; validar status e dicionário antes de estimar tendências
sim_2020_csv,cancer_mortality,"Mortalidade Geral 2020","CGIAE / DATASUS / Ministério da Saúde",https://dadosabertos.saude.gov.br/dataset/sim,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SIM/Mortalidade_Geral_2020_csv.zip,CSV ZIP,nacional e município,2020,2026-08-02,"recurso selecionado automaticamente no catálogo oficial; última modificação 2025-12-15",verified,"marco pandêmico e comparação de layout",arquivo compactado; validar status e dicionário antes de estimar tendências
sim_status_page,cancer_mortality,"Dados sobre Mortalidade","Ministério da Saúde",https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa/svsa/mortalidade,,HTML,nacional e município,1996-2025,2026-08-02,"página acessada em 2026-08-02",verified,"definição de preliminar e definitivo",a página informa menor desagregação pública municipal
